fold,config,wear_r2,auroc_TWF,auroc_HDF,auroc_PWF,auroc_OSF,auroc_RNF
0,causal+gap,0.6142826676368713,0.8848080133555927,,0.48994171836811434,0.9134545892556011,0.048373644703919916
0,bidirectional+gap,0.8151854276657104,0.9148580968280469,,0.4187817258883249,0.9435075885328836,0.8465387823185988
1,causal+gap,0.7529773116111755,0.9003350083752094,,0.3921327198496533,0.9112654320987654,0.6491228070175439
1,bidirectional+gap,0.866399884223938,0.9595198213288666,,0.4552524139718748,0.9335718294051628,0.4656084656084656
2,causal+gap,0.7664737105369568,0.9276940256839754,0.3803169307756463,0.5602921805771763,0.8934602108405635,0.4586120401337792
2,bidirectional+gap,0.8035913705825806,0.9653824678950307,0.3202668890742285,0.5285594539576098,0.9036290698759213,0.6760033444816054
3,causal+gap,0.75673907995224,0.90360435875943,0.5171617898890626,0.5546592985427159,0.9040225035161744,
3,bidirectional+gap,0.8632543087005615,0.9783259489881451,0.4530398166761803,0.5477516823387851,0.9265822784810126,
4,causal+gap,0.7318902015686035,0.9426298157453936,,0.4745378151260505,0.8367571771110103,0.43467848161896777
4,bidirectional+gap,0.8464168906211853,0.9688721384701284,,0.4542857142857143,0.9348713628410343,0.5587354807807448
5,causal+gap,0.8211301565170288,0.9461087866108786,,0.6466386554621848,0.9462761506276152,0.6661097187412977
5,bidirectional+gap,0.8461099863052368,0.9760669456066946,,0.6855462184873949,0.947949790794979,0.7257031467557783
6,causal+gap,0.7599566578865051,0.9303077475751407,,0.37615449202350965,0.9335576114381834,0.10925771476230195
6,bidirectional+gap,0.8570070862770081,0.9686265117949946,,0.5414684205616196,0.9268292682926829,0.32777314428690574
7,causal+gap,0.7189127206802368,0.8669456066945607,,0.4776661083193746,0.899440456081081,
7,bidirectional+gap,0.8421348333358765,0.9501255230125523,,0.4187604690117253,0.941089527027027,
