fold,config,auroc_TWF,auroc_OSF,wear_r2
0,bidirectional+gap,0.9314134668892599,0.9409580020878504,0.8557529846827189
0,causal+gap (original baseline),0.9162493043962159,0.9221472737492974,0.7290624181429545
0,causal+last (final configuration),0.9282136894824707,0.9371838111298482,0.8750016291936239
1,bidirectional+gap,0.9622650288479434,0.9336653572764684,0.8474914232889811
1,causal+gap (original baseline),0.9148055090266145,0.9050224466891134,0.7785625457763672
1,causal+last (final configuration),0.9534245300576959,0.9345071081182192,0.869701087474823
2,bidirectional+gap,0.9565884980457845,0.9054016232857544,0.8377274672190348
2,causal+gap (original baseline),0.9266703889819468,0.8793108809901421,0.7688739895820618
2,causal+last (final configuration),0.9125255909175508,0.8876760891874241,0.8506476879119873
3,bidirectional+gap,0.9800023949227638,0.9233942803563057,0.8708616693814596
3,causal+gap (original baseline),0.9081147966311419,0.8998406000937647,0.726015567779541
3,causal+last (final configuration),0.9784456951263322,0.9251007969995312,0.8796272675196329
4,bidirectional+gap,0.9671505676530803,0.9364914781932475,0.8479173183441162
4,causal+gap (original baseline),0.93606923506421,0.8658544488367572,0.7486680944760641
4,causal+last (final configuration),0.9698492462311558,0.9306590629252803,0.8769624829292297
5,bidirectional+gap,0.9752301255230126,0.9475034867503487,0.8588905135790507
5,causal+gap (original baseline),0.9341701534170154,0.9424825662482567,0.8159938057263693
5,causal+last (final configuration),0.9709902370990237,0.9523012552301254,0.881084680557251
6,bidirectional+gap,0.9724983035963758,0.9330733746208936,0.856402317682902
6,causal+gap (original baseline),0.9464335608509958,0.9179855748400745,0.7516555984814962
6,causal+last (final configuration),0.9766495030535265,0.9337105283278538,0.8805825710296631
7,bidirectional+gap,0.94744769874477,0.9096283783783784,0.83427361647288
7,causal+gap (original baseline),0.8953974895397491,0.8932819538288288,0.7197815179824829
7,causal+last (final configuration),0.9507391910739192,0.9379926801801801,0.8664494752883911
